,title,artist,released_year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,decease_date
2598,Someone Out There,Flirtations,1968,99999,1978,1867,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2599,Stranger On The Shore,Mr. Acker Bilk,1962,99999,1979,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2600,ThoseLlazy Hazy Crazy Days Of Summer,Nat 'King' Cole,1963,99999,1980,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2601,I've Been A Bad Bad Boy,Paul Jones,1967,99999,1983,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2602,Banapple Gas,Cat Stevens,1976,99999,1984,1583,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2603,Bits And Pieces,Dave Clark Five,1964,99999,1985,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2604,Bittersweet Samba,Herb Alpert & The Tijuana Brass,1966,99999,1986,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2605,Can't Stop Runnin',Space Monkey,1983,99999,1989,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2606,I Can Hear The Grass Grow,Move,1967,99999,1990,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2607,Miss You Like Crazy,Natalie Cole,1989,99999,1993,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2608,Singing In The Rain,Sheila & Black Devotion,1977,99999,1994,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2609,When You Walk In The Room,Jacky DelShannon,1964,99999,1997,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2610,Ya-Ya,Joey Dee & the Starlighters,1962,99999,1998,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2611,Higher Love,Steve Winwood,1986,99999,1999,99999,1873,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2612,Streets Of Philadelphia,Bruce Springsteen,1994,99999,99999,76,159,162,116,136,147,114,131,170,161,140,171,143,183,193,158,189,167,148,99999
2613,Knockin' On Heaven's Door,Guns N' Roses,1992,99999,99999,100,145,134,121,151,176,271,157,212,175,212,222,226,300,325,264,278,202,99999,99999
2614,Harder Dan Ik Hebben Kan,Bløf,1999,99999,99999,112,85,107,74,120,132,128,118,263,276,317,315,327,383,370,373,373,297,349,99999
2615,Luna,Alessandro Safina,2000,99999,99999,172,235,210,351,405,670,415,406,1245,1196,1012,1447,1770,1774,99999,99999,99999,99999,99999,99999
2616,Wer Bisto,Twarres,2000,99999,99999,213,241,351,732,722,854,825,647,1001,1022,1090,1213,1193,1247,1430,1785,1794,1830,1835,99999
2617,Another 45 Miles,Golden Earring,1969,99999,99999,227,350,262,276,211,202,287,237,227,209,237,221,247,311,301,231,234,230,259,99999
2618,Tragedy,Bee Gees,1979,99999,99999,291,745,892,815,924,937,964,864,1138,1101,1330,1388,1336,1441,1370,1253,1199,1392,1324,99999
2619,I Would Stay,Krezip,2000,99999,99999,327,202,139,386,290,360,249,262,167,251,362,405,426,425,427,478,473,410,229,99999
2620,Wat Zou Je Doen,Bløf,1998,99999,99999,328,99999,99999,274,487,464,520,538,853,752,893,1035,975,1121,1234,1282,1283,872,952,99999
2621,Angels,Robbie Williams,1998,99999,99999,364,114,24,44,11,18,39,24,34,37,55,41,40,75,80,74,68,76,89,99999
2622,I'm Outta Love,Anastacia,2000,99999,99999,398,256,476,369,489,312,962,462,99999,1831,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2623,Onderweg,Abel,2000,99999,99999,435,584,410,503,341,367,282,361,576,615,454,382,484,423,422,393,321,198,276,99999
2624,Foolish Games,Jewel,1997,99999,99999,466,320,331,598,696,687,674,589,1045,1177,1133,1270,1136,1376,1380,1556,1639,1638,1806,99999
2625,Don't Forget To Remember,Bee Gees,1969,99999,99999,486,711,678,688,727,656,469,609,869,783,1013,1404,1428,1663,1829,1741,1700,99999,99999,99999
2626,To Love Somebody,Bee Gees,1967,99999,99999,609,1649,1247,1172,1109,1236,1151,1179,1537,1438,1720,1964,1863,1952,99999,1936,1839,1891,1908,99999
2627,No Matter What,Boyzone,1998,99999,99999,622,765,1026,951,1176,1464,1511,1227,1124,1416,1649,99999,99999,99999,99999,99999,99999,99999,99999,99999
2628,Adiemus,Adiemus,1995,99999,99999,638,1387,825,965,929,1207,887,969,1717,1449,1349,1326,1617,1949,1796,99999,99999,99999,99999,99999
2629,De Bestemming,Marco Borsato,1998,99999,99999,653,622,771,343,502,563,659,556,422,1079,929,953,1049,1083,958,1318,1479,1219,786,99999
2630,One,U2,1992,99999,99999,689,766,82,14,17,6,8,10,14,14,13,17,19,22,24,31,32,50,57,99999
2631,I Can't Dance,Genesis,1992,99999,99999,693,1161,1042,1227,1240,1559,1862,1415,1521,1595,1611,1622,1402,1426,1727,1595,1737,1994,1825,99999
2632,Another One Bites The Dust,Queen,1980,99999,99999,713,498,438,521,567,638,869,620,617,686,476,337,420,512,540,524,692,197,263,99999
2633,Man I Feel Like A Woman,Shania Twain,1999,99999,99999,717,602,676,625,760,1128,1575,937,1767,1685,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2634,Prisencolinen Sinainciusol,Adriano Celentano,1973,99999,99999,742,764,750,642,860,1234,893,871,1823,1690,1836,99999,99999,99999,99999,99999,99999,99999,99999,99999
2635,Afscheid,Volumia!,1998,99999,99999,760,99999,1389,750,1179,1871,1906,1467,99999,99999,1750,1731,1963,99999,99999,99999,99999,99999,99999,99999
2636,If I Could Turn Back The Hands Of Time,R. Kelly,1999,99999,99999,782,99999,99999,1293,1679,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2637,A Piece Of The Action,Babys,1978,99999,99999,793,931,1159,1198,1542,1444,1475,1356,1524,1616,1851,1566,1849,1759,1983,1776,1919,99999,99999,99999
2638,You Can't Hurry Love,Phil Collins,1982,99999,99999,799,846,722,800,842,961,1291,938,1360,1269,1493,1689,1436,1568,1576,1358,1612,1190,1080,99999
2639,Smoorverliefd,Doe Maar,1981,99999,99999,802,866,995,1078,1076,1307,1383,1190,1383,1505,1145,826,1080,1367,1211,1205,1092,1050,1028,99999
2640,Chariots Of Fire,Vangelis,1982,99999,99999,807,992,1128,1112,1363,1229,1456,1251,1528,1467,1588,1110,1465,1458,1942,99999,99999,99999,99999,99999
2641,You're Still The One ,Shania Twain,1998,99999,99999,847,634,672,651,790,1067,1227,897,1796,1619,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2642,Gimme Gimme Gimme,ABBA,1979,99999,99999,851,865,1085,987,568,1019,768,839,1135,1210,1056,1022,1308,1305,1341,1049,982,560,427,99999
2643,Stand And Deliver,Adam & The Ants,1981,99999,99999,861,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2644,Overcome,Live,2001,99999,99999,879,107,64,184,352,409,650,267,419,414,322,425,383,497,440,567,540,664,737,99999
2645,I Hear You Now,Jon & Vangelis,1980,99999,99999,885,917,1409,1307,1367,1459,1443,1376,1608,1841,99999,1582,99999,99999,99999,99999,99999,99999,99999,99999
2646,Believe,Cher,1998,99999,99999,919,1004,1044,1159,1462,1723,99999,1742,99999,99999,99999,99999,99999,99999,99999,99999,99999,1824,99999,99999
2647,Uptown Girl,Billy Joel,1983,99999,99999,949,1070,1710,1450,1606,1767,1923,1657,99999,1975,99999,99999,1764,99999,1894,1845,1772,1152,1212,99999
2648,Nothing Else Matters,Metallica,1992,99999,99999,1014,99,16,19,20,10,15,14,19,11,14,14,9,11,16,15,15,13,15,99999
2649,Blijf Bij Mij,Paul De Leeuw,1993,99999,99999,1025,977,821,1011,669,579,923,751,888,1155,1355,1130,1421,1782,99999,99999,99999,99999,99999,99999
2650,Dolce Paola,Adamo,1965,99999,99999,1038,1079,1069,931,732,923,610,788,1458,1343,1845,99999,99999,99999,99999,99999,99999,99999,99999,99999
2651,Gaia,Valensia,1993,99999,99999,1053,801,1095,1005,874,1075,1013,1011,907,885,876,760,859,889,712,945,717,1087,1102,99999
2652,She's The One,Robbie Williams,1999,99999,99999,1091,374,205,301,219,383,806,377,939,1075,1245,1273,1020,1388,1516,1521,1773,1525,1621,99999
2653,Kiss,Prince & the Revolution,1986,99999,99999,1095,1311,1114,957,99999,1566,1620,1581,1592,1088,1401,1179,1204,1238,1101,721,1077,998,99999,99999
2654,When You Say Nothing At All,Ronan Keating,1999,99999,99999,1112,653,746,870,864,1030,1215,958,1120,1300,1175,1392,1351,1455,1636,99999,1998,1600,1512,99999
2655,Because You Loved Me,Celine Dion,1996,99999,99999,1116,954,1382,1025,1182,1194,1002,1138,1546,1660,1776,1690,99999,99999,99999,99999,99999,99999,99999,99999
2656,That Was Yesterday,Foreigner,1985,99999,99999,1146,810,1094,1186,1358,1370,1683,1355,1609,1621,1628,1665,1679,1614,1533,1870,1588,1893,1830,99999
2657,Camouflage,Stan Ridgway,1986,99999,99999,1151,1694,1839,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2658,Wooden Heart,Elvis Presley,1961,99999,99999,1152,1223,954,1318,1317,1217,1280,1229,1406,1517,1583,1995,1932,99999,99999,99999,99999,99999,99999,1977
2659,Super Trouper,ABBA,1980,99999,99999,1176,1155,832,1334,1307,1407,1094,1205,1531,1433,1662,1801,1800,1857,99999,1746,1805,974,1049,99999
2660,Liefde Voor Muziek,Raymond van het Groenewoud,1991,99999,99999,1187,1717,1238,1605,1715,1691,1522,1578,1871,1501,1943,99999,99999,99999,99999,99999,99999,99999,99999,99999
2661,You're The Greatest Lover,Luv',1978,99999,99999,1191,99999,1843,99999,99999,1978,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2662,Don't Stop The Music,Yarbrough & Peoples,1981,99999,99999,1202,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2663,Battle Hymn Of The Republic,Andy Williams,1968,99999,99999,1218,1485,1817,1468,1334,1759,1092,1436,99999,1819,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2664,They Don't Play Our Lovesong Anymore,Anita Meyer,1981,99999,99999,1239,1519,1571,1274,1436,1519,1212,1385,1754,1386,1478,99999,99999,99999,99999,99999,99999,99999,99999,99999
2665,Diep In Mijn Hart,Andre Hazes,1982,99999,99999,1241,99999,1900,1125,1512,99999,1508,1831,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2666,Fool If You Think It's Over,Chris Rea,1978,99999,99999,1250,1338,1970,1754,1823,1778,99999,1930,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2667,Somebody Else's Lover,Total Touch,1996,99999,99999,1265,1178,1151,1557,1672,1247,99999,1737,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2668,Somewhere Between,Tumbleweeds,1975,99999,99999,1300,1289,1617,1447,1590,1434,1255,1417,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2669,Got My Mind Set On You,George Harrison,1987,99999,99999,1311,1029,1274,1649,1799,1951,99999,1883,1729,99999,1927,99999,99999,99999,99999,99999,99999,99999,99999,2001
2670,Times Were When,Cats,1968,99999,99999,1320,1083,1142,1036,1129,1035,1089,1101,1028,1181,1357,1656,1506,1472,1627,99999,1808,1888,99999,99999
2671,Not Just A Flower In Your Hair,After tea,1967,99999,99999,1347,1486,1551,1871,1595,99999,1712,1896,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2672,Blame It On The Boogie,The Jacksons,1978,99999,99999,1353,1922,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2673,I'm On Fire,5000 Volts,1975,99999,99999,1377,99999,99999,1752,1864,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2674,No Particular Place To Go,Chuck Berry,1964,99999,99999,1399,1714,99999,1933,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2675,Kokomo,Beach Boys,1989,99999,99999,1402,1651,1987,1825,1831,1905,99999,1959,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2676,Voulez-Vous,ABBA,1979,99999,99999,1413,1917,99999,1801,1506,1963,1964,1828,1520,1692,1894,1748,1889,1974,1599,1550,1521,987,1024,99999
2677,Save Your Kisses,Brotherhood of Man,1976,99999,99999,1415,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2678,C'est Moi,C. Jérome,1974,99999,99999,1418,1899,99999,1802,1537,1807,1910,1803,1404,1715,1688,1427,99999,99999,99999,99999,99999,99999,99999,99999
2679,Freedom,Wham,1984,99999,99999,1432,1926,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2680,Tearoom Tango,Wim Sonneveld,1966,99999,99999,1437,1779,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2681,Peter Gunn Theme,"Emerson, Lake & Palmer",1980,99999,99999,1438,1327,341,325,404,397,643,447,484,496,722,545,784,868,976,992,877,1098,970,99999
2682,Ring Ring,ABBA,1973,99999,99999,1448,1869,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2683,Second Waltz,Andre Rieu,1994,99999,99999,1449,1221,1479,1009,884,1140,615,911,1190,1278,1736,1513,1985,1955,99999,99999,99999,99999,99999,99999
2684,Le Lac Majeur,Mort Shuman,1973,99999,99999,1492,1691,1768,1657,1591,1768,99999,1901,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2685,To Whom It Concerns,Chris Andrews,1965,99999,99999,1529,1182,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2686,The Baby,Hollies,1972,99999,99999,1538,1902,1720,1816,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2687,Osaka,The Shoes,1970,99999,99999,1540,1812,1413,1629,1379,1641,1635,1586,1624,1784,1297,1472,1919,1725,99999,99999,99999,99999,99999,99999
2688,We Don't Need Another Hero,Tina Turner,1985,99999,99999,1552,1237,1186,1367,1661,1854,1842,1634,99999,1958,99999,99999,99999,99999,99999,99999,99999,99999,1976,99999
2689,ABC,Jackson 5,1970,99999,99999,1579,99999,99999,1981,99999,99999,99999,99999,1297,1755,1703,1369,1700,99999,1826,99999,99999,99999,99999,99999
2690,Blue Eyes,Elton John,1982,99999,99999,1591,873,1933,1935,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2691,Sugar Sugar,Archies,1969,99999,99999,1603,1529,99999,99999,1999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2692,Summer In The City,Joe Cocker,1994,99999,99999,1630,1393,1554,1410,1728,1628,99999,1844,1876,1856,1809,1590,1720,99999,99999,1900,99999,99999,99999,99999
2693,Goodnight Girl,Wet Wet Wet,1992,99999,99999,1642,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2694,Angel Of Mine,Frank Duval,1981,99999,99999,1665,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2695,I'm Gonna Love You Too,Blondie,1978,99999,99999,1677,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2696,Flashdance (What A Feeling),Irene Cara,1983,99999,99999,1699,99999,1904,1827,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2697,Ca Plane Pour Moi,Plastic Bertrand,1978,99999,99999,1722,1709,1794,1841,99999,99999,99999,99999,99999,1994,99999,1753,99999,99999,99999,99999,99999,99999,99999,99999
2698,Put Your Head On My Shoulder,Paul Anka,1959,99999,99999,1731,99999,1973,99999,1917,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2699,Baby's In Black,Beatles,1965,99999,99999,1738,1339,1526,1461,1407,1428,1459,1457,99999,1765,99999,1797,99999,99999,99999,99999,99999,99999,99999,99999
2700,Shake Your Body (Down To The Ground),The Jacksons,1979,99999,99999,1739,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2701,Groovin' With Mr. Bloe,Mr. Bloe,1970,99999,99999,1742,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2702,M'n Opa,Leen Jongewaard & Hetty Blok,1967,99999,99999,1748,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2703,What Becomes Of The Broken Hearted,Colin Blunstone & Dave Stewart,1981,99999,99999,1765,99999,99999,1891,1921,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2704,I Swear,All 4 one,1994,99999,99999,1774,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2705,Hurt,Bobby Vinton,1973,99999,99999,1788,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2706,The Family Tree,Venice,1999,99999,99999,1805,99999,579,294,198,171,177,221,234,339,426,501,277,442,499,716,744,823,949,99999
2707,This Is Welfare,The Dutch,1983,99999,99999,1806,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2708,When You Tell Me That You Love Me,Diana Ross,1992,99999,99999,1830,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2709,Escape (The Pina Colada Song),Rupert Holmes,1980,99999,99999,1853,1558,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2710,Please Go,Golden Earrings,1965,99999,99999,1868,1766,1639,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2711,Macarena,Los Del Rio,1996,99999,99999,1875,1328,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2712,Ramaya,Afric Simone,1975,99999,99999,1877,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2713,Anyone Who Had A Heart,Cilla Black,1964,99999,99999,1880,1948,1797,1812,1722,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2714,There's A Whole Lot Of Loving,Guys & Dolls,1975,99999,99999,1883,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2715,Hello How Are You,The Easybeats,1968,99999,99999,1897,1921,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2716,What's Up,4 Non Blondes,1993,99999,99999,1908,99999,99999,99999,181,463,216,461,368,771,323,855,965,799,687,806,823,948,960,99999
2717,Fool's Overture,Supertramp,1977,99999,99999,1916,99999,99999,180,141,133,139,174,107,98,101,64,70,72,69,95,84,92,71,99999
2718,Sajang É,Massada,1980,99999,99999,1928,99999,1807,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2719,Where Are You,Imaani,1998,99999,99999,1944,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2720,Life,Des'ree,1998,99999,99999,1955,1935,99999,1939,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2721,You Never Can Tell (C'est La Vie),Emmylou Harris,1977,99999,99999,1956,1750,1912,1778,1869,1708,1793,1748,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2722,Crush,Jennifer Paige,1998,99999,99999,1972,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2723,It Will Come In Time,Billy Preston & Syreeta,1980,99999,99999,1974,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2724,Hey Mal Yo,Johnny & Orquestra Rodrigues,1975,99999,99999,1998,99999,99999,883,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2725,Freedom,Mac & Katie Kissoon,1972,99999,99999,1999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2726,De Kapitein Deel II,Acda & De Munnik,2000,99999,99999,99999,105,212,329,388,404,362,338,681,589,666,896,779,991,778,896,1013,1068,926,99999
2727,Binnen,Marco Borsato,1999,99999,99999,99999,415,342,161,187,251,346,251,282,652,747,577,846,1041,909,1334,1413,1285,1274,99999
2728,Baby What A Big Surprise,Chicago,1977,99999,99999,99999,509,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2729,Let's Get Loud,Jennifer Lopez,2000,99999,99999,99999,535,1055,1182,1507,99999,99999,1952,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2730,Scarlet Ribbons,Cats,1969,99999,99999,99999,554,493,718,629,526,639,610,702,645,741,1002,961,958,1108,1360,1218,1512,99999,99999
2731,Love The One You're With,Stephen Stills,1971,99999,99999,99999,648,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2732,Sister Golden Hair,America,1975,99999,99999,99999,950,1035,1215,1419,1653,1184,1348,1752,1348,1863,99999,99999,99999,99999,99999,99999,99999,99999,99999
2733,Please Forgive Me,Bryan Adams,1993,99999,99999,99999,1128,858,741,919,1078,1019,979,1798,1600,1597,1817,1956,99999,99999,99999,99999,99999,99999,99999
2734,Tinseltown In The Rain,Blue Nile,1984,99999,99999,99999,1247,445,532,459,567,537,552,816,879,887,749,759,548,626,633,595,871,99999,99999
2735,The End Of The Show,Cats,1980,99999,99999,99999,1277,1239,1225,1405,1221,1384,1337,1277,1439,1669,1946,1670,1690,1941,99999,99999,99999,99999,99999
2736,Ik Meen 't,Andre Hazes,1985,99999,99999,99999,1290,1800,1250,1440,1702,1672,1611,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2737,Never Ever,All Saints,1997,99999,99999,99999,1303,1191,1082,1451,1635,1423,1425,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2738,Vivere,Andrea Bocelli,1994,99999,99999,99999,1359,1400,1355,1589,1910,1406,1584,99999,1896,99999,1765,1976,99999,99999,99999,99999,99999,99999,99999
2739,The Nightfly,Donald Fagen,1982,99999,99999,99999,1376,1610,1585,1586,1688,1596,1637,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2740,Wrap Your Arms Around Me,Agnetha Fältskog,1983,99999,99999,99999,1391,1250,1124,1198,1825,1476,1461,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2741,I've Gotta Get A Message To You,Bee Gees,1968,99999,99999,99999,1434,1494,1445,1325,1450,1398,1455,1834,1726,1916,99999,99999,99999,99999,99999,99999,99999,99999,99999
2742,Rock And Roll Music,Beatles,1965,99999,99999,99999,1474,1586,1666,1738,1834,1716,1720,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2743,Cottonfields,Beach Boys,1969,99999,99999,99999,1556,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2744,Christmas Was A Friend Of Mine,Fay Lovsky,1982,99999,99999,99999,1564,99999,1622,99999,99999,1455,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2745,To Be With You,Mr. Big,1992,99999,99999,99999,1575,1935,1593,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2746,Ring Of Fire,Animals & Eric Burdon,1969,99999,99999,99999,1666,1886,1512,1670,1898,1777,1744,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2747,Racing Car,Air Bubble,1976,99999,99999,99999,1713,1947,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2748,Rasputin,Boney M,1978,99999,99999,99999,1716,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2749,The Banner Man,Blue Mink,1971,99999,99999,99999,1797,1946,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2750,Ela Ela,Axis,1972,99999,99999,99999,1833,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2751,Love Me Tender,Elvis Presley,1956,99999,99999,99999,1839,540,388,686,654,709,631,774,708,999,1031,1143,1362,1300,1160,1138,1088,1097,1977
2752,Margrietje,Louis Neefs,1972,99999,99999,99999,1849,1597,1856,1717,1495,99999,1887,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2753,There's No More Corn On The Brasos,The Walkers,1971,99999,99999,99999,1851,1309,99999,1942,1836,1845,1845,1898,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2754,Eye In The Sky,Alan Parsons Project,1982,99999,99999,99999,1883,201,218,184,182,141,181,267,234,301,303,372,421,487,443,384,441,99999,99999
2755,Sex & Drugs & Rock & Roll,Ian Dury & Blockheads,1978,99999,99999,99999,1965,1861,1813,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2756,Fresh,Kool & The Gang,1985,99999,99999,99999,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2757,All I Really Want To Do,Byrds,1965,99999,99999,99999,1976,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2758,How Do I Live,LeAnn Rimes,1998,99999,99999,99999,1981,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2759,De Vogeltjesdans,Electronica's,1980,99999,99999,99999,1986,1842,1840,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
2760,Vaya Con Dios,Cats,1972,99999,99999,99999,1990,1120,1249,1166,1083,1157,1197,1196,1235,1520,1535,1725,1723,99999,99999,99999,99999,99999,99999
